USMS Men's Short Course Meters Records 03/06/2018
Age Group,Event,Name,Date,Time
M18-24,50 M Free,Nick Brunelli,12-11-05,21.38S
M18-24,100 M Free,Nick Brunelli,12-11-05,48.00S
M18-24,200 M Free,Nick Brunelli,12-11-05,1:47.32S
M18-24,400 M Free,Dion C Dreesens,10-26-14,3:55.20S
M18-24,800 M Free,Eric T Nilsson,12-09-11,8:16.50S
M18-24,1500 M Free,Andrew I Gyenis,01-24-15,16:04.59S
M18-24,50 M Back,Josh Hafkin,03-17-12,25.38S
M18-24,100 M Back,Eugene Godsoe,10-29-11,51.91S
M18-24,200 M Back,Louis D Vayo,12-04-09,2:01.17S
M18-24,50 M Breast,Gregor Plevelj,11-21-09,27.83S
M18-24,100 M Breast,Thibaut R Capitaine,11-18-17,59.96S
M18-24,200 M Breast,Thibaut R Capitaine,11-19-17,2:12.70S
M18-24,50 M Fly,Runar Borgen,11-06-16,23.96S
M18-24,100 M Fly,Eugene Godsoe,10-29-11,52.25S
M18-24,200 M Fly,Eric T Nilsson,12-10-11,2:03.41S
M18-24,100 M IM,Eugene Godsoe,10-29-11,55.71S
M18-24,200 M IM,Nick Brunelli,12-11-05,2:00.32S
M18-24,400 M IM,Sergey O Mariniuk,11-14-93,4:28.54S
M25-29,50 M Free,Cesar Cielo,11-15-14,21.37S
M25-29,100 M Free,Cesar Cielo,11-16-14,47.43S
M25-29,200 M Free,Darian R Townsend,11-03-13,1:44.90S
M25-29,400 M Free,Eric T Nilsson,12-14-13,3:57.03S
M25-29,800 M Free,Alex Kostich,12-14-97,8:14.75S
M25-29,1500 M Free,Alex Kostich,12-14-97,15:41.81S
M25-29,50 M Back,Darian R Townsend,11-03-13,24.55S
M25-29,100 M Back,Tony Cox,12-03-16,52.99S
M25-29,200 M Back,Jan Konarzewski,11-13-16,2:01.34S
M25-29,50 M Breast,Eetu Karvonen,11-23-13,27.31S
M25-29,100 M Breast,Eetu Karvonen,11-23-13,59.21S
M25-29,200 M Breast,Marcus Titus,01-17-14,2:11.26S
M25-29,50 M Fly,Darian R Townsend,11-24-13,23.53S
M25-29,100 M Fly,Darian R Townsend,11-03-13,52.45S
M25-29,200 M Fly,Eric T Nilsson,12-14-13,2:03.59S
,,Jason H Eaddy,12-15-02,2:03.59S
M25-29,100 M IM,Darian R Townsend,11-03-13,53.47S
M25-29,200 M IM,Adam J Ritter,10-13-13,1:59.79S
M25-29,400 M IM,John Keppeler,12-10-95,4:26.79S
M30-34,50 M Free,Darian R Townsend,11-13-16,21.91S
