2016 USMS Top 10 SCM for Pacific LMSC
Place,Age Group,Event,Name,Age,Club,LMSC,Time
3,W18-24,50 Free,Kate McNeilis,24,FREM,Pacific,28.61M
5,W18-24,50 Free,Cassandra M Adams,20,CHIC,Pacific,28.69M
1,W18-24,100 Free,Catherine Breed,23,MEMO,Pacific,57.99M
3,W18-24,100 Free,Kate McNeilis,24,FREM,Pacific,1:01.64M
1,W18-24,200 Free,Catherine Breed,23,MEMO,Pacific,2:10.84M
1,W18-24,400 Free,Mackenzie M Leake,23,STAN,Pacific,4:43.12M
2,W18-24,800 Free,Mackenzie M Leake,23,STAN,Pacific,9:36.75M
1,W18-24,1500 Free,Mikkel-Ane Stipe,23,TOC,Pacific,17:47.75M
2,W18-24,1500 Free,Mackenzie M Leake,23,STAN,Pacific,18:14.94M
3,W18-24,1500 Free,Allison A Arnold,24,TOC,Pacific,18:21.83M
3,W18-24,50 Back,Catherine Breed,23,MEMO,Pacific,32.97M
7,W18-24,50 Back,Cassandra M Adams,20,CHIC,Pacific,34.74M
3,W18-24,100 Back,Mikkel-Ane Stipe,23,TOC,Pacific,1:08.57M
2,W18-24,200 Back,Mackenzie M Leake,23,STAN,Pacific,2:32.79M
9,W18-24,50 Breast,Jenn Hwang,24,WCM,Pacific,38.53M
1,W18-24,200 Breast,Mackenzie M Leake,23,STAN,Pacific,2:49.99M
3,W18-24,50 Fly,Catherine Breed,23,MEMO,Pacific,30.20M
6,W18-24,100 Fly,Margaret Yamamoto,23,WCM,Pacific,1:16.19M
1,W18-24,200 Fly,Mackenzie M Leake,23,STAN,Pacific,2:30.04M
2,W18-24,200 Fly,Allison A Arnold,24,TOC,Pacific,2:32.53M
1,W18-24,200 IM,Allison A Arnold,24,TOC,Pacific,2:30.87M
2,W18-24,200 IM,Mikkel-Ane Stipe,23,TOC,Pacific,2:35.91M
10,W18-24,200 IM,Jenn Hwang,24,WCM,Pacific,2:45.29M
1,W18-24,400 IM,Mackenzie M Leake,23,STAN,Pacific,5:14.49M
7,W25-29,100 Free,Lindsay E Gaudinier,27,WCM,Pacific,1:02.77M
10,W25-29,200 Free,Lindsay E Gaudinier,27,WCM,Pacific,2:18.25M
6,W25-29,400 Free,Lindsay E Gaudinier,27,WCM,Pacific,4:52.83M
4,W25-29,800 Free,Lindsay E Gaudinier,27,WCM,Pacific,10:01.06M
6,W25-29,800 Free,Jennifer L Mohn,25,DAM,Pacific,10:43.86M
3,W25-29,1500 Free,Lindsay E Gaudinier,27,WCM,Pacific,19:22.63M
4,W25-29,1500 Free,Kara M Kohler,25,CALM,Pacific,20:12.98M
5,W25-29,1500 Free,Julie H Mesavage,25,TSUN,Pacific,21:27.07M
4,W25-29,50 Breast,Katy Houston,29,TOC,Pacific,36.04M
7,W25-29,50 Breast,Morena I Calvo,29,UC38,Pacific,36.74M
