2019 USMS Top 10 SCM for Pacific LMSC
Place,Age Group,Event,Name,Age,Club,LMSC,Time
8,W18-24,50 Free,Madison Dickman,24,ARM,Pacific,29.40M
2,W18-24,100 Free,Alexa Clark,22,WCM,Pacific,1:02.47M
3,W18-24,200 Free,Alexa Clark,22,WCM,Pacific,2:16.58M
7,W18-24,50 Back,Alexa Clark,22,WCM,Pacific,32.99M
8,W18-24,50 Back,Madison Dickman,24,ARM,Pacific,33.58M
2,W18-24,100 Back,Alexa Clark,22,WCM,Pacific,1:10.42M
1,W18-24,200 Back,Alexa Clark,22,WCM,Pacific,2:31.43M
7,W18-24,50 Breast,Madison Dickman,24,ARM,Pacific,39.85M
10,W18-24,50 Fly,Paige Treff,23,CHIC,Pacific,32.24M
1,W18-24,100 IM,Alexa Clark,22,WCM,Pacific,1:11.18M
8,W18-24,100 IM,Madison Dickman,24,ARM,Pacific,1:15.43M
4,W18-24,200 IM,Alexa Clark,22,WCM,Pacific,2:31.85M
7,W25-29,50 Free,Sabrina Maisel,29,MVM,Pacific,30.18M
3,W25-29,100 Free,Mackenzie M Leake,26,STAN,Pacific,1:03.07M
4,W25-29,100 Free,Danae Petrakis,27,USF,Pacific,1:03.25M
4,W25-29,200 Free,Danae Petrakis,27,USF,Pacific,2:20.65M
2,W25-29,400 Free,Mackenzie M Leake,26,STAN,Pacific,4:43.57M
1,W25-29,800 Free,Mackenzie M Leake,26,STAN,Pacific,9:40.57M
3,W25-29,800 Free,Jennifer L Mohn,28,DAM,Pacific,10:53.52M
5,W25-29,800 Free,Laura Rambo,28,MEMO,Pacific,11:32.20M
1,W25-29,1500 Free,Allison A Arnold,27,TOC,Pacific,17:39.31M
5,W25-29,1500 Free,Ashley Knaggs,28,TSUN,Pacific,20:27.18M
4,W25-29,50 Back,Becca W Wyant,29,MEMO,Pacific,32.35M
1,W25-29,200 Back,Mackenzie M Leake,26,STAN,Pacific,2:30.75M
7,W25-29,200 Back,Fiona M Greer,26,EBAT,Pacific,2:46.27M
8,W25-29,200 Back,Jennifer L Mohn,28,DAM,Pacific,2:54.18M
