GENDER_AG,DIVPLACE,LNAME,FNAME,MI,TEAM,AGE,USMSID,DOB,TIME,RECORD
F1824,1,Adams,Danica,,UC02,24,0241-HV10B,,1:08:24.13,NAT_RECORD
F3034,1,Darby,Kate,,DAM,32,383P-KTHRC,,1:53:01.00,
F3539,1,Swoch,Sarah,,SPM,38,1436-02TVT,,1:20:52.03,
F3539,2,Perkins,Sarah,,CONN,39,0539-0ATTH,,2:40:57.52,
F4044,1,Rueda,Marcela,,SRM,41,3830-03YSX,,1:20:44.22,
F4044,2,Gibson,Stephanie,,SPM,40,143N-H37MJ,,1:21:37.00,
F4044,3,Cary,Michelle,,OREG,42,373G-9ZMPV,,1:33:46.98,
F4044,4,King,Sarah,,CONN,40,053F-07PBT,,2:34:46.73,
F4549,1,Henry,Stephanie,,IM,49,213W-09R25,,1:20:21.27,
F4549,2,Miller,Kristen,,UC02,49,0235-047ZW,,1:26:12.00,
F4549,3,Clarke,Monica,,AAMAH,48,4334-04KVT,,1:26:55.96,
F4549,4,Ufford,Kate,,VCM,48,333J-09ES7,,1:33:56.00,
F4549,5,Sidletsky,Marlis,,PALM,48,5538-05P2K,,1:36:09.00,
F4549,6,Castle,Amanda,,IM,48,213N-062JD,,1:38:06.71,
F4549,7,Clouse,Jody,,CONN,46,053M-XXH23,,2:01:37.43,
F5054,1,Dearworth,Suzanne,,PBM,51,5035-027H7,,1:23:55.99,
F5054,2,Bailey,Linda,,SAWS,51,593S-03MGN,,1:33:34.82,
F5054,3,Hales,Margaret,,DSMY,51,403K-8NAM7,,1:37:34.71,
F5054,4,Singh,Jo,,MELO,51,3830-4PWA1,,1:40:56.00,
F5054,5,Wagner,Amy,,AAAA,50,433S-XMCUB,,1:41:15.59,
F5054,6,Calub,Tina,,IM,50,213X-G4AEA,,1:41:25.91,
F5559,1,Brynn,Charlotte,,NEM,57,023H-034BA,,1:20:35.72,
F5559,2,Cleveland,Marcia,,IM,59,213B-MC944,,1:21:52.28,
F5559,3,Couch,Stephanie,,MELO,59,3830-03UKW,,1:23:24.61,
F5559,4,Lundgren,Karen,,IM,59,213C-09E7N,,1:27:48.55,
F5559,5,Nelson,Sheila,,SRM,55,383R-024PJ,,1:27:59.78,
F5559,6,Salton,Gillian,,OREG,55,374G-05G96,,1:29:35.00,
F5559,7,Clark,Dawn,,SPM,59,143C-05VRX,,1:31:04.00,
F5559,8,Bulman,Robin,,SRM,58,383W-07MHY,,1:31:49.32,
F5559,9,Phalen,Jennifer,,DAM,59,384C-JENNY,,1:42:58.09,
F5559,10,Goodwin,Cathy,,PBM,58,503C-08CWV,,1:43:00.99,
F6064,1,Elsbach,Kimberly,,GFDM,60,3831-D0NUT,,1:18:49.80,
F6064,2,Carroll,Leah,,ALB,62,383N-09H3C,,2:08:35.06,
F6064,3,Coleman,DeLise,,AWYY,62,453V-02EA1,,2:17:16.15,
F6569,1,Burton,Tamara,,PBM,65,503U-099CG,,1:29:03.00,
F6569,2,Diedo,Maddie,,MICH,65,1930-028U9,,1:44:32.06,
F6569,3,Siniscalchi,Janet,,PBM,67,503U-079VZ,,1:44:32.99,
F6569,4,Turner,Lisa,,O*H*,66,183A-087FJ,,1:58:03.07,
F7074,1,Loftus-Charley,Shirley,,CM-Y,72,123F-WATER,,1:23:16.49,NAT_RECORD
F7074,2,Rust,Catherine,,PBM,70,503X-06WNH,,1:31:37.99,
F7074,3,Wright,Jill,,SAWS,72,5934-01J02,,1:48:30.63,
F7074,4,Callaway,Linda,,MOST,70,433B-02NEV,,1:54:16.87,
F7074,5,Lantz,Katy,,DAM,70,383A-040UN,,2:07:02.00,
F7074,6,Ellis,Christine,,AAMAH,73,4333-V969U,,2:29:31.71,
F7074,7,Greer,Francine,,AWYY,74,453V-3BMDR,,2:32:15.00,
F7579,1,Larsen,Babs,,MINN,76,303V-02A9M,,2:00:33.10,
F7579,2,Paris,Susan,,O*H*,77,1830-01WC8,,2:12:58.58,
F7579,3,Paukert,Judy,,MOST,75,4338-02NR1,,2:21:30.00,
