"Sex","Age Group","Distance","Stroke","Rank","Time","Name","Age","Club","Reg Number","Date","Meet"
"Women ","18-24","50","Freestyle","1","23.68"," Crystal N Murphy","F23","TOC","385H-BJCAG","11-26-2025","2025 U.S. Masters Swimming Spring National Championship"
"Women ","18-24","50","Freestyle","2","24.75"," Cathy Teng","F24","MELO","3857-GA9YA","11-13-2025","Pacific Masters Swimming Short Course Yards Championship"

"Women ","25-29","50","Freestyle","3","24.80"," Maheemah Bokhoree","F28","MELO","385B-T3ZJD","11-13-2025","Pacific Masters Swimming Short Course Yards Championship"



"Women ","85-89","400","Individual Medley","1","9:44.70"," Nancy Stretch","F85","TOC","385W-03GCF","11-25-2025","2025 U.S. Masters Swimming Spring National Championship"
"Men ","18-24","50","Freestyle","1","20.87"," Jonathan J Affeld","M22","TOC","385S-6BG1V","","2025 U.S. Masters Swimming Spring National Championship"
"Men ","18-24","50","Freestyle","2","21.36"," Kyle C Millis","M24","TOC","384B-1JS70","06-21-2025","2024 U.S. Masters Swimming Spring National Championship"
"Men ","18-24","50","Freestyle","3","21.93"," Matthew Perkey","M24","UC38","385V-X5ASS","11-13-2025","Pacific Masters Swimming Short Course Yards Championship"
"Men ","18-24","50","Freestyle","4","22.17"," Drake M Southern","M24","TVM","385U-XD98K","11-01-2025","TVM Spring Classic - 2025"
"Men ","25-29","50","Backstroke","1","21.85"," Christopher Staka","M26","UC38","3851-YK94P","11-27-2025","2025 U.S. Masters Swimming Spring National Championship"
"Men ","25-29","50","Backstroke","2","22.36"," Andy Song","M26","TOC","385B-Z3RFY","11-27-2025","2025 U.S. Masters Swimming Spring National Championship"
"Men ","25-29","50","Backstroke","3","23.43"," Kyle C Millis","M25","TOC","385D-1JS70","09-12-2025","Pacific Masters Swimming Short Course Yards Championship"
"Men ","25-29","50","Backstroke","4","23.56"," Mark W Andrew","M27","TOC","385H-8N4WX","09-22-2025","2025 Splash &amp; Dash Sprint Pentathlon"
"Men ","25-29","50","Backstroke","5","23.97"," Reed H Malone","M29","TOC","384W-DCWHN","","2024 U.S. Masters Swimming Spring National Championship"



"Men ","25-29","50","Backstroke","6","24.43"," Niq Mu","M28","TOC","385T-E3RNP","09-12-2025","Pacific Masters Swimming Short Course Yards Championship"
"Men ","25-29","100","Backstroke","2","24.43"," Niq Mu","M28","TOC","385T-E3RNP","09-12-2025","Pacific Masters Swimming Short Course Yards Championship"




"Men ","85-89","400","Individual Medley","1","8:35.94"," William Van Horn","M86","TOC","3857-03MS2","09-25-2025","2025 U.S. Masters Swimming Spring National Championship"
